상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도,icon,color
12612892,이디야커피,마곡나루역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207600000,1,대지,760,,서울특별시 강서구 마곡동 760,115003155051,서울특별시 강서구 마곡중앙5로,6,,1150010500107600000000001,마곡나루역보타닉푸르지오시티,서울특별시 강서구 마곡중앙5로 6,157805.0,7788.0,,,,126.827003198167,37.5670848911589,cloud,red
12602912,이디야커피,마곡역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207730002,1,대지,773,2.0,서울특별시 강서구 마곡동 773-2,115003155054,서울특별시 강서구 마곡중앙6로,16,,1150010500107271088000001,마곡지엠지타워,서울특별시 강서구 마곡중앙6로 16,157805.0,7801.0,,,,126.82898701343201,37.560391911309,cloud,red
12585029,이디야커피,까치산역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150054000,화곡1동,1150010300.0,화곡동,1150010300203490015,1,대지,349,15.0,서울특별시 강서구 화곡동 349-15,115004145022,서울특별시 강서구 강서로17길,6,,1150010300103490015013927,광성빌딩,서울특별시 강서구 강서로17길 6,157882.0,7764.0,,1,,126.845181337042,37.53341228618729,cloud,red
12505542,이디야커피,마곡엠밸리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207720008,1,대지,772,8.0,서울특별시 강서구 마곡동 772-8,115003155046,서울특별시 강서구 마곡동로,61,,1150010500107720008000001,에이스프라자,서울특별시 강서구 마곡동로 61,157805.0,7802.0,1,1,,126.83313759604799,37.5606042036706,cloud,red
12578703,이디야커피마곡엠밸리점,마곡엠밸리점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207680002,1,대지,768,2.0,서울특별시 강서구 마곡동 768-2,115003155047,서울특별시 강서구 마곡서로,101,,1150010500107680002000001,동익드미라벨복합빌딩,서울특별시 강서구 마곡서로 101,157805.0,7798.0,,2,,126.82357529809299,37.5626447457415,cloud,red
12572473,이디야커피등촌동점,등촌동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150051000,염창동,1150010100.0,염창동,1150010100202730009,1,대지,273,9.0,서울특별시 강서구 염창동 273-9,115004145210,서울특별시 강서구 공항대로61길,20,,1150010100102730009027701,,서울특별시 강서구 공항대로61길 20,157863.0,7562.0,101,1,102,126.865777907713,37.5518038339191,cloud,red
12577995,이디야커피,마곡대방디엠시티점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207760002,1,대지,776,2.0,서울특별시 강서구 마곡동 776-2,115003115008,서울특별시 강서구 양천로,344,,1150010500107760002000001,마곡센트럴대방디엠시티오피스텔,서울특별시 강서구 양천로 344,157805.0,7791.0,,,,126.840342131832,37.5682528631838,cloud,red
12562490,이디야커피마곡역점,마곡역점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207730003,1,대지,773,3.0,서울특별시 강서구 마곡동 773-3,115002005007,서울특별시 강서구 공항대로,195,,1150010500107730003000001,현대힐스테이트에코동익,서울특별시 강서구 공항대로 195,157805.0,7801.0,,1,,126.829257307783,37.5597548601835,cloud,red
14235636,이디야커피,방화동로점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150064000,방화2동,1150010900.0,방화동,1150010900205800130,1,대지,580,130.0,서울특별시 강서구 방화동 580-130,115003115005,서울특별시 강서구 방화동로,95,,1150010900105800130001737,,서울특별시 강서구 방화동로 95,157851.0,7607.0,,1,,126.812529039729,37.56900353765271,cloud,red
16055723,엠케이이디야마곡나루역점,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150060300,가양1동,1150010500.0,마곡동,1150010500207600000,1,대지,760,,서울특별시 강서구 마곡동 760,115003155051,서울특별시 강서구 마곡중앙5로,6,,1150010500107600000000001,마곡나루역보타닉푸르지오시티,서울특별시 강서구 마곡중앙5로 6,157805.0,7788.0,,1,130,126.82661782918301,37.567117102541296,cloud,red
15962748,이디야커피우장산동점,우장산동점,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150061500,우장산동,1150010300.0,화곡동,1150010300200840005,1,대지,84,5.0,서울특별시 강서구 화곡동 84-5,115003115010,서울특별시 강서구 우현로,17,,1150010300100840005018576,서흥빌딩,서울특별시 강서구 우현로 17,157870.0,7695.0,,1,,126.843462731402,37.547253383188206,cloud,red
15801793,이디야화곡사거리,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,11,서울특별시,11500,강서구,1150059300,화곡8동,1150010300.0,화곡동,1150010300203420053,1,대지,342,53.0,서울특별시 강서구 화곡동 342-53,115003005063,서울특별시 강서구 곰달래로,135,,1150010300103420053012006,,서울특별시 강서구 곰달래로 135,157880.0,7760.0,,,,126.84790375766899,37.5307537896023,cloud,red
